cow_number;datetime;code_1_5;code_6_or_12;code_15;other_1;other_2
2;2019-04-16 12:48:06;4;12;0;0;0
2;2019-04-16 12:48:07;4;12;0;0;0
2;2019-04-16 12:48:08;4;12;0;0;0
2;2019-04-16 12:48:09;4;12;0;0;0
2;2019-04-16 12:48:10;4;12;0;0;0
2;2019-04-16 12:48:11;4;12;0;0;0
2;2019-04-16 12:48:12;4;12;0;0;0
2;2019-04-16 12:48:13;4;12;0;0;0
2;2019-04-16 12:48:14;4;12;0;0;0
2;2019-04-16 12:48:15;4;12;0;0;0
2;2019-04-16 12:48:16;4;12;0;0;0
2;2019-04-16 12:48:17;4;12;0;0;0
2;2019-04-16 12:48:18;4;12;0;0;0
2;2019-04-16 12:48:19;4;12;0;0;0
2;2019-04-16 12:48:20;4;12;0;0;0
2;2019-04-16 12:48:21;4;12;0;0;0
2;2019-04-16 12:48:22;4;12;0;0;0
2;2019-04-16 12:48:23;4;12;0;0;0
2;2019-04-16 12:48:24;4;12;0;0;0
2;2019-04-16 12:48:25;4;12;0;0;0
2;2019-04-16 12:48:26;4;12;0;0;0
2;2019-04-16 12:48:27;4;12;0;0;0
2;2019-04-16 12:48:28;4;12;0;0;0
2;2019-04-16 12:48:29;4;12;0;0;0
2;2019-04-16 12:48:30;4;12;0;0;0
2;2019-04-16 12:48:31;4;12;0;0;0
2;2019-04-16 12:48:32;4;12;0;0;0
2;2019-04-16 12:48:33;4;12;0;0;0
2;2019-04-16 12:48:34;4;12;0;0;0
2;2019-04-16 12:48:35;4;12;0;0;0
2;2019-04-16 12:48:36;4;12;0;0;0
2;2019-04-16 12:48:37;4;12;0;0;0
2;2019-04-16 12:48:38;4;12;0;0;0
2;2019-04-16 12:48:39;4;12;0;0;0
2;2019-04-16 12:48:40;4;12;0;0;0
2;2019-04-16 12:48:41;4;12;0;0;0
2;2019-04-16 12:48:42;4;12;0;0;0
2;2019-04-16 12:48:43;4;12;0;0;0
2;2019-04-16 12:48:44;4;12;0;0;0
2;2019-04-16 12:48:45;4;12;0;0;0
2;2019-04-16 12:48:46;4;12;0;0;0
2;2019-04-16 12:48:47;4;12;0;0;0
2;2019-04-16 12:48:48;4;12;0;0;0
2;2019-04-16 12:48:49;4;12;0;0;0
2;2019-04-16 12:48:50;4;12;0;0;0
2;2019-04-16 12:48:51;4;12;0;0;0
2;2019-04-16 12:48:52;4;12;0;0;0
2;2019-04-16 12:48:53;4;12;0;0;0
2;2019-04-16 12:48:54;4;12;0;0;0
2;2019-04-16 12:48:55;4;12;0;0;0
2;2019-04-16 12:48:56;4;12;0;0;0
2;2019-04-16 12:48:57;4;12;0;0;0
2;2019-04-16 12:48:58;4;12;0;0;0
2;2019-04-16 12:48:59;4;12;0;0;0
2;2019-04-16 12:49:00;4;12;0;0;0
2;2019-04-16 12:49:01;4;12;0;0;0
2;2019-04-16 12:49:02;4;12;0;0;0
2;2019-04-16 12:49:03;4;12;0;0;0
2;2019-04-16 12:49:04;4;12;0;0;0
2;2019-04-16 12:49:05;4;12;0;0;0
2;2019-04-16 12:49:06;4;12;0;0;0
2;2019-04-16 12:49:07;4;12;0;0;0
2;2019-04-16 12:49:08;4;12;0;0;0
2;2019-04-16 12:49:09;4;12;0;0;0
2;2019-04-16 12:49:10;4;12;0;0;0
2;2019-04-16 12:49:11;4;12;0;0;0
2;2019-04-16 12:49:12;4;12;0;0;0
2;2019-04-16 12:49:13;4;12;0;0;0
2;2019-04-16 12:49:14;4;12;0;0;0
2;2019-04-16 12:49:15;4;12;0;0;0
2;2019-04-16 12:49:16;4;12;0;0;0
2;2019-04-16 12:49:17;4;12;0;0;0
2;2019-04-16 12:49:18;4;12;0;0;0
2;2019-04-16 12:49:19;4;12;0;0;0
2;2019-04-16 12:49:20;4;12;0;0;0
2;2019-04-16 12:49:21;4;12;0;0;0
2;2019-04-16 12:49:22;4;12;0;0;0
